JournalName,ImpactFactor2020,Source,Type
Journal of Environmental Chemical Engineering,1.198,ImpactFactorListJournals,OpenAccess
Polymer engineering and science,1.92,ImpactFactorListJournals,OpenAccess
Advances in Physics,30.917,ImpactFactorListJournals,OpenAccess
Phytomedicine International Journal of Phytotherapy and Phytopharmacology,3.61,ImpactFactorListJournals,OpenAccess
Antioxidants and Redox Signaling,6.53,ImpactFactorListJournals,OpenAccess
BMC chemistry,2.094,ImpactFactorListJournals,OpenAccess
Journal of Chemical Education,1.385,ImpactFactorListJournals,OpenAccess
Journal of Chemical Sciences,1.496,ImpactFactorListJournals,OpenAccess
Journal of Chemistry,1.727,ImpactFactorListJournals,OpenAccess
Journal of Organic Chemistry,4.335,ImpactFactorListJournals,OpenAccess
New journal of chemistry,3.069,ImpactFactorListJournals,OpenAccess
American Journal of Transplantation,6.493,ImpactFactorListJournals,OpenAccess
Indian journal of surgery,0.55,ImpactFactorListJournals,OpenAccess
JAMA Surgery,10.7,ImpactFactorListJournals,OpenAccess
Acta Agriculturae Scandinavica Section A Animal Science,0.42,ImpactFactorListJournals,OpenAccess
Agriculture and human values,3.128,ImpactFactorListJournals,OpenAccess
Indian Journal of Agricultural Biochemistry,0.125,ImpactFactorListJournals,OpenAccess
journal of agricultural economics,1.545,ImpactFactorListJournals,OpenAccess
Journal of integrative agriculture,1.337,ImpactFactorListJournals,OpenAccess
Academy of Management Journal,7.191,ImpactFactorListJournals,OpenAccess
Academy of Management Learning and Education,2.866,ImpactFactorListJournals,OpenAccess
Academy of Management Review,10.632,ImpactFactorListJournals,OpenAccess
Accounting Organizations and Society,3.147,ImpactFactorListJournals,OpenAccess
European Management Journal,2.985,ImpactFactorListJournals,OpenAccess
Journal of Business Research,4.747,ImpactFactorListJournals,OpenAccess
Journal of International Business Studies,7.724,ImpactFactorListJournals,OpenAccess
Journal of International Economics,2.216,ImpactFactorListJournals,OpenAccess
Journal of management,9.056,ImpactFactorListJournals,OpenAccess
Animal Nutrition and Feed Technology,0.291,ImpactFactorListJournals,OpenAccess
Animal Production Science,1.275,ImpactFactorListJournals,OpenAccess
Journal of Animal Science,1.697,ImpactFactorListJournals,OpenAccess
Annual review of statistics and its application,3.857,ImpactFactorListJournals,OpenAccess
Australian and New Zealand journal of statistics,0.642,ImpactFactorListJournals,OpenAccess
Journal of statistical software,3.801,ImpactFactorListJournals,OpenAccess
The American Statistician,5.381,ImpactFactorListJournals,OpenAccess
Journal of Marine Science and Technology,1.845,ImpactFactorListJournals,OpenAccess
Science and technology of advanced materials,3.585,ImpactFactorListJournals,OpenAccess
American Journal of Sociology,3.764,ImpactFactorListJournals,OpenAccess
European journal of research methods for the behavioral and social sciences,0.9,ImpactFactorListJournals,OpenAccess
The Social Science Journal,1.071,ImpactFactorListJournals,OpenAccess
Biotechnology Advances,12.831,ImpactFactorListJournals,OpenAccess
Nature Biotechnology,31.864,ImpactFactorListJournals,OpenAccess
Annals of Botany,3.454,ImpactFactorListJournals,OpenAccess
Aquatic Botany,2.143,ImpactFactorListJournals,OpenAccess
Australian Journal of Botany,1.586,ImpactFactorListJournals,OpenAccess
Australian Systematic Botany,1.039,ImpactFactorListJournals,OpenAccess
Botany letters,0.883,ImpactFactorListJournals,OpenAccess
Pakistan Journal of Botany,0.75,ImpactFactorListJournals,OpenAccess
Plant Biotechnology Journal,6.84,ImpactFactorListJournals,OpenAccess
Journal of cleaner production,6.395,ImpactFactorListJournals,OpenAccess
Journal of Environmental Sciences,3.556,ImpactFactorListJournals,OpenAccess
Nature Communications,11.878,ImpactFactorListJournals,OpenAccess
Scientific Reports,4.011,ImpactFactorListJournals,OpenAccess
Life Sciences Society and Policy,1.222,ImpactFactorListJournals,OpenAccess
Biochemistry,2.952,ImpactFactorListJournals,OpenAccess
Contemporary accounting research,2.261,ImpactFactorListJournals,OpenAccess
Cell and Tissue Banking,1.939,ImpactFactorListJournals,OpenAccess
Journal of Banking and Finance,2.205,ImpactFactorListJournals,OpenAccess
Journal of Finance,6.201,ImpactFactorListJournals,OpenAccess
Food and Energy Security,4.781,ImpactFactorListJournals,OpenAccess
Journal of food and drug analysis,4.176,ImpactFactorListJournals,OpenAccess
Journal of Wildlife Management,1.881,ImpactFactorListJournals,OpenAccess
Journal of Business Ethics,3.796,ImpactFactorListJournals,OpenAccess
Advances in Nursing Science,1.311,ImpactFactorListJournals,OpenAccess
International journal of nursing studies,3.57,ImpactFactorListJournals,OpenAccess
Journal of Diabetes Research,,IndexedJournalsList,OpenAccess
Journal of Materials Science,,IndexedJournalsList,OpenAccess
The Lancet,,IndexedJournalsList,OpenAccess
Indian Journal of Medical Research,,IndexedJournalsList,OpenAccess
Australasian Journal of Educational Technology,,IndexedJournalsList,OpenAccess
Phytomedicine International Journal of Phytotherapy and Phytopharmacology,,IndexedJournalsList,OpenAccess
Antioxidants and Redox Signaling,,IndexedJournalsList,OpenAccess
Journal of Food Science,,IndexedJournalsList,OpenAccess
American Journal of Transplantation,,IndexedJournalsList,OpenAccess
Journal of Dentistry,,IndexedJournalsList,OpenAccess
Journal of Public Health,,IndexedJournalsList,OpenAccess
International Journal of Nanomedicine,,IndexedJournalsList,OpenAccess
Acta Agriculturae Scandinavica Section A Animal Science,,IndexedJournalsList,OpenAccess
Indian Journal of Psychiatry,,IndexedJournalsList,OpenAccess
Annals of Pediatric Cardiology,,IndexedJournalsList,OpenAccess
Dermatologica Sinica,,IndexedJournalsList,OpenAccess
Indian Journal of Ophthalmology,,IndexedJournalsList,OpenAccess
Indian Journal of Orthopaedics,,IndexedJournalsList,OpenAccess
Indian Journal of Pharmacology,,IndexedJournalsList,OpenAccess
Canadian Journal of Infectious Diseases and Medical Microbiology,,IndexedJournalsList,OpenAccess
Indian Journal of Pediatrics,,IndexedJournalsList,OpenAccess
Journal of Endodontics,,IndexedJournalsList,OpenAccess
Animal Nutrition and Feed Technology,,IndexedJournalsList,OpenAccess
Indian Journal of Agricultural Biochemistry,,IndexedJournalsList,OpenAccess
Academic Pediatrics,,IndexedJournalsList,OpenAccess
Academy of Management Learning and Education,,IndexedJournalsList,OpenAccess
Indian Pediatrics,,IndexedJournalsList,OpenAccess
Journal of Pure and Applied Microbiology,,IndexedJournalsList,OpenAccess
Journal of Clinical Periodontology,,IndexedJournalsList,OpenAccess
The Journal of Pediatrics,,IndexedJournalsList,OpenAccess
Aesthetic Surgery Journal,,IndexedJournalsList,OpenAccess
Journal of Ophthalmology,,IndexedJournalsList,OpenAccess
journal of agricultural economics,,IndexedJournalsList,OpenAccess
Annals of Saudi Medicine,,IndexedJournalsList,OpenAccess
Bangladesh Journal of Pharmacology,,IndexedJournalsList,OpenAccess
Journal of Oral Microbiology,,IndexedJournalsList,OpenAccess
The Journal of Bone and Joint Surgery,,IndexedJournalsList,OpenAccess
Annals of Anatomy,,IndexedJournalsList,OpenAccess
Clinical Oral Implants Research,,IndexedJournalsList,OpenAccess
Journal of Ayurveda and integrative medicine,,IndexedJournalsList,OpenAccess
American Journal of Pathology,,IndexedJournalsList,OpenAccess
Analytical Cellular Pathology,,IndexedJournalsList,OpenAccess
American Journal of Obstetrics and Gynecology,,IndexedJournalsList,OpenAccess
Acta Orthopaedica,,IndexedJournalsList,OpenAccess
Anatolian Journal of Cardiology,,IndexedJournalsList,OpenAccess
The american journal of surgical pathology,,IndexedJournalsList,OpenAccess
The Journal of pathology,,IndexedJournalsList,OpenAccess
Development and Psychopathology,,IndexedJournalsList,OpenAccess
Modern pathology,,IndexedJournalsList,OpenAccess
Brain pathology,,IndexedJournalsList,OpenAccess
American Journal of Clinical Pathology,,IndexedJournalsList,OpenAccess
Journal of clinical pathology,,IndexedJournalsList,OpenAccess
BMC public health,,IndexedJournalsList,OpenAccess
Public Health Reports,,IndexedJournalsList,OpenAccess
European Journal of Public Health,,IndexedJournalsList,OpenAccess
Pharmaceutical Chemistry Journal,,IndexedJournalsList,OpenAccess
Journal of Esthetic and Restorative Dentistry,,IndexedJournalsList,OpenAccess
JAMA Ophthalmology,,IndexedJournalsList,OpenAccess
American Journal of Ophthalmology,,IndexedJournalsList,OpenAccess
British Journal of Ophthalmology,,IndexedJournalsList,OpenAccess
Survey of Ophthalmology,,IndexedJournalsList,OpenAccess
The American Journal of Psychiatry,,IndexedJournalsList,OpenAccess
World Journal of Surgery,,IndexedJournalsList,OpenAccess
Nature Biotechnology,,IndexedJournalsList,OpenAccess
Biotechnology Advances,,IndexedJournalsList,OpenAccess
Plant Biotechnology Journal,,IndexedJournalsList,OpenAccess
The Social Science Journal,,IndexedJournalsList,OpenAccess
American Journal of Sociology,,IndexedJournalsList,OpenAccess
Journal of management,,IndexedJournalsList,OpenAccess
European Management Journal,,IndexedJournalsList,OpenAccess
The american journal of medicine,,IndexedJournalsList,OpenAccess
The American Statistician,,IndexedJournalsList,OpenAccess
Australian and New Zealand journal of statistics,,IndexedJournalsList,OpenAccess
Journal of statistical software,,IndexedJournalsList,OpenAccess
Sustainable chemistry and pharmacy,,IndexedJournalsList,OpenAccess
Journal of managed care and specialty pharmacy,,IndexedJournalsList,OpenAccess
Pharmaceutical patent analyst,,IndexedJournalsList,OpenAccess
International journal of clinical pharmacy,,IndexedJournalsList,OpenAccess
Journal of integrative agriculture,,IndexedJournalsList,OpenAccess
Animal Production Science,,IndexedJournalsList,OpenAccess
Science and technology of advanced materials,,IndexedJournalsList,OpenAccess
Emerging Infectious Diseases,,IndexedJournalsList,OpenAccess
Infectious diseases of poverty,,IndexedJournalsList,OpenAccess
Emerging microbes and infections,,IndexedJournalsList,OpenAccess
Frontiers in microbiology,,IndexedJournalsList,OpenAccess
Frontiers in Cellular and Infection Microbiology,,IndexedJournalsList,OpenAccess
BMC dermatology,,IndexedJournalsList,OpenAccess
Journal of Investigative Dermatology,,IndexedJournalsList,OpenAccess
Experimental Dermatology,,IndexedJournalsList,OpenAccess
British Journal of Dermatology,,IndexedJournalsList,OpenAccess
Archives of Dermatological Research,,IndexedJournalsList,OpenAccess
Journal of the American Academy of Dermatology,,IndexedJournalsList,OpenAccess
Clinics in Dermatology,,IndexedJournalsList,OpenAccess
American Journal of Clinical Dermatology,,IndexedJournalsList,OpenAccess
Journal of Dermatological Science,,IndexedJournalsList,OpenAccess
Cardiovascular Diabetology,,IndexedJournalsList,OpenAccess
Clinical Diabetes and Endocrinology,,IndexedJournalsList,OpenAccess
Journal of diabetes investigation,,IndexedJournalsList,OpenAccess
Japanese Dental Science Review,,IndexedJournalsList,OpenAccess
Nutrition and Diabetes,,IndexedJournalsList,OpenAccess
Molecular Cancer,,IndexedJournalsList,OpenAccess
British Dental Journal,,IndexedJournalsList,OpenAccess
Journal of the american dental association,,IndexedJournalsList,OpenAccess
Journal of Big Data,,IndexedJournalsList,OpenAccess
Computational and Structural Biotechnology Journal,,IndexedJournalsList,OpenAccess
The American Journal of Surgery,,IndexedJournalsList,OpenAccess
Journal of the American College of Surgeons,,IndexedJournalsList,OpenAccess
International Journal of Surgery,,IndexedJournalsList,OpenAccess
Journal of pharmaceutical and biomedical analysis,,IndexedJournalsList,OpenAccess
Journal of Forensic and Legal Medicine,,IndexedJournalsList,OpenAccess
American journal of forensic medicine and pathology,,IndexedJournalsList,OpenAccess
Nature Materials,,IndexedJournalsList,OpenAccess
Advanced Materials,,IndexedJournalsList,OpenAccess
Materials Today,,IndexedJournalsList,OpenAccess
Annals of Botany,,IndexedJournalsList,OpenAccess
Aquatic Botany,,IndexedJournalsList,OpenAccess
Australian Journal of Botany,,IndexedJournalsList,OpenAccess
Australian Systematic Botany,,IndexedJournalsList,OpenAccess
BMC chemistry,,IndexedJournalsList,OpenAccess
Journal of Environmental Sciences,,IndexedJournalsList,OpenAccess
Journal of Chemical Sciences,,IndexedJournalsList,OpenAccess
Journal of Chemistry,,IndexedJournalsList,OpenAccess
Journal of Clinical Anesthesia,,IndexedJournalsList,OpenAccess
New journal of chemistry,,IndexedJournalsList,OpenAccess
British Journal of Anaesthesia,,IndexedJournalsList,OpenAccess
Procedia computer science,,IndexedJournalsList,OpenAccess
NPJ Quantum Information,,IndexedJournalsList,OpenAccess
Journal of oral biosciences,,IndexedJournalsList,OpenAccess
IEEE Transactions on Pattern Analysis and Machine Intelligence,,IndexedJournalsList,OpenAccess
IEEE Transactions on Computers,,IndexedJournalsList,OpenAccess
Journal of the ACM,,IndexedJournalsList,OpenAccess
ACS Applied Materials and Interfaces,,IndexedJournalsList,OpenAccess
Botany letters,,IndexedJournalsList,OpenAccess
European journal of research methods for the behavioral and social sciences,,IndexedJournalsList,OpenAccess
Annual review of statistics and its application,,IndexedJournalsList,OpenAccess
The New England Journal of Medicine,,IndexedJournalsList,OpenAccess
Advances in Physics,,IndexedJournalsList,OpenAccess
Academy of Management Journal,,IndexedJournalsList,OpenAccess
Academy of Management Review,,IndexedJournalsList,OpenAccess
Journal of International Business Studies,,IndexedJournalsList,OpenAccess
Journal of International Economics,,IndexedJournalsList,OpenAccess
Journal of Orthopaedics,,IndexedJournalsList,OpenAccess
Advanced materials interfaces,,IndexedJournalsList,OpenAccess
Annals of microbiology,,IndexedJournalsList,OpenAccess
Annual Review of Microbiology,,IndexedJournalsList,OpenAccess
Life Sciences Society and Policy,,IndexedJournalsList,OpenAccess
Emerging Microbes and Infections,,IndexedJournalsList,OpenAccess
Advances in Medical Sciences,,IndexedJournalsList,OpenAccess
Asian Pacific Journal of Tropical Medicine,,IndexedJournalsList,OpenAccess
Medical Journal Armed Forces India,,IndexedJournalsList,OpenAccess
Agriculture and human values,,IndexedJournalsList,OpenAccess
Scientific Reports,,IndexedJournalsList,OpenAccess
JAMA Surgery,,IndexedJournalsList,OpenAccess
Clinical Cardiology,,IndexedJournalsList,OpenAccess
Biochemistry,,IndexedJournalsList,OpenAccess
Contemporary accounting research,,IndexedJournalsList,OpenAccess
Journal of Banking and Finance,,IndexedJournalsList,OpenAccess
American journal of nursing,,IndexedJournalsList,OpenAccess
Journal of neuroscience,,IndexedJournalsList,OpenAccess
Journal of medical case reports,,IndexedJournalsList,OpenAccess
Cell and Tissue Banking,,IndexedJournalsList,OpenAccess
Food and Energy Security,,IndexedJournalsList,OpenAccess
Journal of food and drug analysis,,IndexedJournalsList,OpenAccess
Journal of cleaner production,,IndexedJournalsList,OpenAccess
IETE journal of research,,IndexedJournalsList,OpenAccess
Indian journal of pharmaceutical sciences,,IndexedJournalsList,OpenAccess
Journal of Animal Science,,IndexedJournalsList,OpenAccess
Indian journal of microbiology,,IndexedJournalsList,OpenAccess
Journal of Business Ethics,,IndexedJournalsList,OpenAccess
Pakistan Journal of Botany,,IndexedJournalsList,OpenAccess
Journal of Environmental Chemical Engineering,,IndexedJournalsList,OpenAccess
Nature Communications,,IndexedJournalsList,OpenAccess
Indian journal of surgery,,IndexedJournalsList,OpenAccess
Arabian journal for science and engineering,,IndexedJournalsList,OpenAccess
International journal of nursing studies,,IndexedJournalsList,OpenAccess
Advances in Nursing Science,,IndexedJournalsList,OpenAccess
International Journal of Building Performance Simulation,,IndexedJournalsList,OpenAccess
Journal of Chemical Education,,IndexedJournalsList,OpenAccess
Journal of Organic Chemistry,,IndexedJournalsList,OpenAccess
Journal of Oncology Practice,,IndexedJournalsList,OpenAccess
Journal of pathology Clinical research,,IndexedJournalsList,OpenAccess
The Journal of Emergency Medicine,,IndexedJournalsList,OpenAccess
3 Biotech,,SCI_Journals_2020,SCI
"3L: Language, Linguistics, Literature",,SCI_Journals_2020,SCI
AACL Bioflux,,SCI_Journals_2020,SCI
"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",,SCI_Journals_2020,SCI
AAPS PharmSciTech,,SCI_Journals_2020,SCI
Abstract and Applied Analysis,,SCI_Journals_2020,SCI
Academia (Greece),,SCI_Journals_2020,SCI
Academic Pathology,,SCI_Journals_2020,SCI
"Accounting, Economics and Law: A Convivium",,SCI_Journals_2020,SCI
ACDI Anuario Colombiano de Derecho Internacional,,SCI_Journals_2020,SCI
ACG Case Reports Journal,,SCI_Journals_2020,SCI
ACME,,SCI_Journals_2020,SCI
Acoustical Science and Technology,,SCI_Journals_2020,SCI
ACRN Journal of Finance and Risk Perspectives,,SCI_Journals_2020,SCI
Acrocephalus,,SCI_Journals_2020,SCI
ACS Central Science,,SCI_Journals_2020,SCI
ACS Omega,,SCI_Journals_2020,SCI
Acta Agriculturae Slovenica,,SCI_Journals_2020,SCI
Acta OrthopaedicaAgrobotanica,,SCI_Journals_2020,SCI
Acta Agronomica,,SCI_Journals_2020,SCI
Acta Amazonica,,SCI_Journals_2020,SCI
Acta AngiologicaOpen Access,,SCI_Journals_2020,SCI
Acta Baltica Historiae et Philosophiae Scientiarum,,SCI_Journals_2020,SCI
Acta Baltico-Slavica,,SCI_Journals_2020,SCI
Acta Biochimica Polonica,,SCI_Journals_2020,SCI
Acta Bioethica,,SCI_Journals_2020,SCI
Acta Biologica Colombiana,,SCI_Journals_2020,SCI
Acta Biologica Cracoviensia Series Botanica,,SCI_Journals_2020,SCI
Acta Botanica Brasilica,,SCI_Journals_2020,SCI
Acta Botanica Croatica,,SCI_Journals_2020,SCI
Acta Chimica Slovenica,,SCI_Journals_2020,SCI
Acta Cirurgica Brasileira,,SCI_Journals_2020,SCI
Acta Clinica Croatica,,SCI_Journals_2020,SCI
Acta Colombiana de Psicologia,,SCI_Journals_2020,SCI
Acta Crystallographica Section E: Crystallographic Communications,,SCI_Journals_2020,SCI
Acta Cybernetica,,SCI_Journals_2020,SCI
Acta Dermato-Venereologica,,SCI_Journals_2020,SCI
Acta Endocrinologica,,SCI_Journals_2020,SCI
Acta Entomologica Musei Nationalis Pragae,,SCI_Journals_2020,SCI
Acta et Commentationes Universitatis Tartuensis de Mathematica,,SCI_Journals_2020,SCI
Acta Facultatis Medicae Naissensis,,SCI_Journals_2020,SCI
Acta Fytotechnica et Zootechnica,,SCI_Journals_2020,SCI
Acta Geodaetica et Cartographica Sinica,,SCI_Journals_2020,SCI
Acta Geodynamica et Geomaterialia,,SCI_Journals_2020,SCI
Acta Geologica Polonica,,SCI_Journals_2020,SCI
Acta Geologica Slovaca,,SCI_Journals_2020,SCI
Acta Gymnica,,SCI_Journals_2020,SCI
Acta Herpetologica,,SCI_Journals_2020,SCI
Acta Histochemica et Cytochemica,,SCI_Journals_2020,SCI
Acta Historica Tallinnensia,,SCI_Journals_2020,SCI
Acta Ichthyologica et Piscatoria,,SCI_Journals_2020,SCI
Acta Informatica Medica,,SCI_Journals_2020,SCI
Acta Limnologica Brasiliensia,,SCI_Journals_2020,SCI
Acta Linguistica Asiatica,,SCI_Journals_2020,SCI
Acta Literaria,,SCI_Journals_2020,SCI
Acta Logistica,,SCI_Journals_2020,SCI
Acta Mathematica Universitatis Comenianae,,SCI_Journals_2020,SCI
Acta Mechanica et Automatica,,SCI_Journals_2020,SCI
Acta medica academica,,SCI_Journals_2020,SCI
Acta Medica Bulgarica,,SCI_Journals_2020,SCI
Acta medica (Hradec Kralove),,SCI_Journals_2020,SCI
Acta medica Indonesiana,,SCI_Journals_2020,SCI
Acta Medica Iranica,,SCI_Journals_2020,SCI
