JournalName,ImpactFactor2020,Source,Type,Title,Publisher,ISSN,DoIsbyYear,BackFileDoIs,CurrentDoIs,TotalDoIs,Subjects,ImpactFactor,Journals_Metadata_Paths
British Journal of Anaesthesia,6.199,ImpactFactorListJournals,OpenAccess,British Journal of Anaesthesia,Elsevier ,"['1471-6771', '0007-0912']","[[1996, 857], [2014, 652], [2015, 641], [2013, 639], [2012, 630], [1993, 609], [2020, 594], [2018, 594], [2016, 572], [1994, 563], [2011, 520], [2009, 507], [2019, 503], [2017, 502], [1992, 502], [2008, 499], [1998, 494], [1995, 479], [2002, 470], [2010, 459], [1988, 457], [1991, 446], [2003, 445], [1999, 444], [2007, 433], [2004, 428], [2005, 424], [2000, 418], [1990, 414], [1989, 412], [2006, 404], [1997, 386], [1972, 381], [1986, 378], [2001, 346], [2021, 336], [1987, 334], [1978, 334], [1981, 331], [1980, 326], [1985, 324], [1977, 319], [1973, 319], [1979, 317], [1984, 301], [1971, 300], [1976, 293], [1975, 288], [1982, 282], [1969, 278], [1970, 274], [1974, 267], [1983, 266], [1968, 235], [1962, 233], [1967, 227], [1964, 219], [1965, 215], [1963, 214], [1966, 197], [1955, 177], [1956, 163], [1960, 159], [1957, 157], [1961, 150], [1958, 138], [1959, 135], [1954, 122], [1953, 67], [1952, 55], [1951, 55], [1927, 53], [1950, 52], [1928, 49], [1937, 45], [1939, 44], [1938, 43], [1930, 43], [1925, 41], [1932, 40], [1935, 39], [1924, 37], [1933, 36], [1936, 35], [1934, 34], [1931, 32], [1926, 31], [1948, 26], [1949, 25], [1947, 24], [1923, 22], [1946, 21], [1929, 21], [1942, 19], [1945, 18], [1943, 17], [1941, 16], [1944, 14], [1940, 8]]",25361.0,1433.0,26794.0,"[{'name': 'Anesthesiology and Pain Medicine', 'ASJC': 2703}]",6.199,Journals_Metadata/British Journal of Anaesthesia.json
British Journal of Dermatology,6.714,ImpactFactorListJournals,OpenAccess,British Journal of Dermatology,Wiley (Blackwell Publishing),"['1365-2133', '0007-0963']","[[2019, 1395], [2006, 1292], [2018, 1274], [1996, 997], [2017, 969], [2020, 948], [1997, 852], [2007, 851], [2015, 830], [2014, 792], [2005, 779], [2009, 764], [2016, 761], [2000, 705], [2003, 659], [1998, 637], [1999, 627], [2001, 623], [2012, 615], [2002, 599], [2011, 596], [2004, 592], [2013, 548], [2008, 539], [2010, 522], [1988, 471], [1990, 452], [1987, 432], [1991, 412], [1984, 410], [1983, 410], [1985, 404], [1992, 403], [1986, 399], [2021, 398], [1993, 394], [1989, 387], [1994, 375], [1978, 363], [1977, 330], [1981, 322], [1982, 314], [1970, 308], [1972, 298], [1976, 292], [1995, 291], [1974, 290], [1969, 270], [1975, 268], [1980, 264], [1979, 252], [1971, 231], [1968, 214], [1973, 203], [1967, 174], [1966, 158], [1964, 140], [1965, 137], [1935, 135], [1963, 128], [1938, 125], [1962, 123], [1933, 122], [1937, 116], [1934, 116], [1936, 114], [1955, 112], [1948, 112], [1939, 111], [1932, 110], [1960, 108], [1954, 107], [1931, 107], [1950, 105], [1957, 102], [1958, 101], [1930, 100], [1961, 99], [1956, 99], [1929, 98], [1927, 97], [1924, 96], [1928, 94], [1952, 93], [1949, 92], [1959, 91], [1925, 90], [1953, 88], [1947, 87], [1943, 83], [1941, 83], [1922, 83], [1923, 82], [1921, 82], [1951, 80], [1920, 79], [1940, 78], [1926, 78], [1895, 78], [1910, 76], [1901, 76], [1942, 75], [1896, 75], [1902, 72], [1912, 70], [1908, 70], [1903, 68], [1946, 56], [1945, 56], [1898, 50], [1944, 47], [1917, 47], [1911, 47], [1918, 38], [1916, 38], [1919, 37], [1892, 28]]",32601.0,2741.0,35342.0,"[{'name': 'Dermatology', 'ASJC': 2708}]",7.0,Journals_Metadata/British Journal of Dermatology.json
British Journal of Ophthalmology,3.384,ImpactFactorListJournals,OpenAccess,British Journal of Ophthalmology,BMJ,"['1468-2079', '0007-1161']","[[2006, 632], [2008, 547], [2003, 533], [2005, 532], [2010, 526], [2002, 490], [2009, 484], [2004, 484], [2001, 472], [2007, 471], [2014, 452], [2000, 443], [2020, 441], [1999, 433], [2013, 427], [1998, 425], [2015, 406], [2012, 379], [2011, 356], [2018, 352], [1995, 336], [2019, 335], [1997, 335], [2017, 332], [1996, 319], [1994, 300], [2016, 298], [1991, 291], [1989, 286], [1990, 285], [1993, 275], [1992, 269], [1981, 255], [1983, 253], [1976, 253], [1987, 248], [1986, 245], [1985, 243], [1979, 240], [1988, 239], [1984, 237], [1980, 233], [1972, 228], [1970, 222], [1973, 220], [1977, 218], [1978, 211], [1971, 209], [1969, 208], [1968, 207], [1974, 203], [1982, 184], [1975, 179], [1967, 179], [1953, 164], [1955, 155], [1948, 155], [1946, 155], [2021, 154], [1956, 154], [1954, 150], [1964, 148], [1959, 147], [1963, 146], [1952, 146], [1944, 136], [1950, 133], [1919, 133], [1951, 132], [1918, 132], [1958, 130], [1945, 130], [1966, 128], [1927, 128], [1920, 127], [1961, 126], [1921, 126], [1947, 124], [1962, 123], [1965, 121], [1960, 121], [1935, 121], [1922, 120], [1928, 118], [1923, 118], [1933, 117], [1917, 117], [1949, 115], [1943, 115], [1932, 114], [1930, 114], [1924, 113], [1957, 111], [1938, 111], [1934, 109], [1937, 106], [1936, 106], [1926, 104], [1931, 101], [1925, 101], [1939, 100], [1942, 99], [1929, 95], [1941, 94], [1940, 87]]",23260.0,930.0,24190.0,"[{'name': 'Ophthalmology', 'ASJC': 2731}, {'name': 'Cellular and Molecular Neuroscience', 'ASJC': 2804}, {'name': 'Sensory Systems', 'ASJC': 2809}]",3.806,Journals_Metadata/British Journal of Ophthalmology.json
Canadian Journal of Infectious Diseases and Medical Microbiology,1.4,ImpactFactorListJournals,OpenAccess,Canadian Journal of Infectious Diseases and Medical Microbiology,Hindawi Limited,"['1918-1493', '1712-9532']","[[2015, 86], [2014, 83], [2013, 79], [2020, 77], [2009, 72], [2018, 69], [2007, 68], [2016, 67], [2012, 63], [2006, 61], [2019, 58], [2008, 57], [2005, 54], [2010, 49], [2017, 37], [2011, 33], [2021, 31], [2004, 29]]",907.0,166.0,1073.0,"[{'name': 'Infectious Diseases', 'ASJC': 2725}, {'name': 'Microbiology (medical)', 'ASJC': 2726}]",0.991,Journals_Metadata/Canadian Journal of Infectious Diseases and Medical Microbiology.json
Cardiovascular Diabetology,5.948,ImpactFactorListJournals,OpenAccess,Cardiovascular Diabetology,Springer (Biomed Central Ltd.),"['1475-2840', '1475-2840']","[[2020, 213], [2013, 180], [2019, 172], [2014, 165], [2016, 164], [2018, 160], [2017, 160], [2012, 156], [2015, 155], [2011, 118], [2021, 107], [2010, 93], [2009, 65], [2007, 39], [2008, 36], [2006, 27], [2003, 19], [2005, 18], [2004, 10], [2002, 5]]",1570.0,492.0,2062.0,"[{'name': 'Cardiology and Cardiovascular Medicine', 'ASJC': 2705}, {'name': 'Endocrinology, Diabetes and Metabolism', 'ASJC': 2712}]",7.332,Journals_Metadata/Cardiovascular Diabetology.json
Clinical Cardiology,2.455,ImpactFactorListJournals,OpenAccess,Journal of Clinical & Experimental Cardiology,OMICS Publishing Group,['2155-9880'],"[[2012, 128], [2016, 113], [2013, 112], [2017, 100], [2018, 90], [2014, 84], [2011, 74], [2015, 64], [2010, 16], [2019, 3]]",781.0,3.0,784.0,[],11.864,Journals_Metadata/Clinical Cardiology.json
Clinical Diabetes and Endocrinology,1.858,ImpactFactorListJournals,OpenAccess,Experimental and Clinical Endocrinology & Diabetes Reports,Georg Thieme Verlag KG,['2196-7407'],"[[2016, 6], [2015, 6], [2017, 5], [2018, 4], [2014, 2]]",23.0,0.0,23.0,[],,Journals_Metadata/Clinical Diabetes and Endocrinology.json
Clinics in Dermatology,2.067,ImpactFactorListJournals,OpenAccess,Clinics in Dermatology,Elsevier ,['0738-081X'],"[[2020, 199], [2014, 124], [2010, 124], [2012, 117], [2001, 117], [2013, 116], [2011, 114], [2018, 113], [2002, 112], [2016, 111], [2009, 109], [2007, 108], [1997, 105], [2019, 104], [2015, 103], [2008, 103], [2017, 102], [1996, 99], [1998, 98], [1999, 96], [2005, 94], [1988, 92], [2004, 88], [2006, 87], [2000, 87], [1987, 87], [1993, 85], [1986, 83], [2003, 80], [1995, 79], [1984, 75], [1985, 74], [1991, 73], [1994, 72], [1992, 66], [1989, 65], [1990, 57], [2021, 38], [1983, 34]]",3349.0,341.0,3690.0,"[{'name': 'Dermatology', 'ASJC': 2708}]",2.47,Journals_Metadata/Clinics in Dermatology.json
Dermatologica Sinica,0.808,ImpactFactorListJournals,OpenAccess,Dermatologica Sinica,Medknow Publications,['1027-8117'],"[[2018, 89], [2016, 78], [2017, 76], [2015, 69], [2014, 63], [2013, 51], [2019, 49], [2011, 46], [2010, 41], [2012, 40], [2020, 32], [2021, 20]]",553.0,101.0,654.0,"[{'name': 'Dermatology', 'ASJC': 2708}]",,Journals_Metadata/Dermatologica Sinica.json
Development and Psychopathology,3.593,ImpactFactorListJournals,OpenAccess,European Journal of Child Development Education and Psychopathology,Universidad Autonoma de Chile,"['2340-924X', '2340-924X']","[[2019, 22], [2020, 17], [2013, 14], [2018, 12], [2014, 12], [2017, 11], [2021, 9], [2016, 9], [2015, 8]]",66.0,48.0,114.0,[],,Journals_Metadata/Development and Psychopathology.json
Emerging Infectious Diseases,7.15,ImpactFactorListJournals,OpenAccess,Journal of Emerging Infectious Diseases,OMICS Publishing Group,['2472-4998'],"[[2016, 21], [2017, 6]]",27.0,0.0,27.0,[],6.259,Journals_Metadata/Emerging Infectious Diseases.json
Emerging microbes and infections,6.212,ImpactFactorListJournals,OpenAccess,Emerging Microbes & Infections,Informa UK (Taylor & Francis),['2222-1751'],"[[2020, 300], [2018, 215], [2019, 177], [2017, 112], [2021, 103], [2016, 86], [2013, 54], [2014, 51], [2015, 48], [2012, 30]]",596.0,580.0,1176.0,"[{'name': 'Immunology', 'ASJC': 2403}, {'name': 'Microbiology', 'ASJC': 2404}, {'name': 'Parasitology', 'ASJC': 2405}, {'name': 'Virology', 'ASJC': 2406}, {'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Epidemiology', 'ASJC': 2713}, {'name': 'Infectious Diseases', 'ASJC': 2725}, {'name': 'Drug Discovery', 'ASJC': 3002}, {'name': 'Immunology', 'ASJC': 2403}, {'name': 'Microbiology', 'ASJC': 2404}, {'name': 'Parasitology', 'ASJC': 2405}, {'name': 'Virology', 'ASJC': 2406}, {'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Epidemiology', 'ASJC': 2713}, {'name': 'Infectious Diseases', 'ASJC': 2725}, {'name': 'Drug Discovery', 'ASJC': 3002}, {'name': 'Immunology', 'ASJC': 2403}, {'name': 'Microbiology', 'ASJC': 2404}, {'name': 'Parasitology', 'ASJC': 2405}, {'name': 'Virology', 'ASJC': 2406}, {'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Epidemiology', 'ASJC': 2713}, {'name': 'Infectious Diseases', 'ASJC': 2725}, {'name': 'Drug Discovery', 'ASJC': 3002}]",31.0,Journals_Metadata/Emerging microbes and infections.json
